City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Koutsouras,GR,85.37,clear sky,35.0339,25.9469,The White Houses
656,Umarkot,PK,82.99,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
657,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
660,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
661,Port-Gentil,GA,75.72,broken clouds,-0.7193,8.7815,Fengshui Residence
667,Qeshm,IR,89.47,scattered clouds,26.9581,56.2719,Qeshm Kavan Hotel
668,Avera,US,86.72,broken clouds,33.194,-82.5271,
673,Madinat Sittah Uktubar,EG,83.8,clear sky,29.8167,31.05,Happy Kennel Academy
674,Daru,PG,79.07,overcast clouds,-9.0763,143.2092,Daru Lodge
678,Biak,ID,82.08,scattered clouds,-0.9131,122.8766,Penginapan Kim
682,Kapit,MY,84.65,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
683,Sweetwater,US,86.02,clear sky,25.7634,-80.3731,Li'l Abner Mobile Home Park
685,Rincon,US,86.86,broken clouds,32.296,-81.2354,Days Inn Rincon
687,Nalut,LY,84.9,clear sky,30.3333,10.85,
