City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Vallenar,CL,-28.5708,-70.7581,62.42,36,0,1.07,clear sky
220,Gurkovo,BG,42.6667,25.8,73.83,62,1,1.3,clear sky
221,Pevek,RU,69.7008,170.3133,36.68,76,99,21.09,overcast clouds
222,Majene,ID,-3.5403,118.9707,83.68,69,68,10.6,broken clouds
223,Faanui,PF,-16.4833,-151.75,77.09,66,78,15.05,broken clouds
224,Sakakah,SA,29.9697,40.2064,82.02,20,0,5.99,clear sky
225,Pochutla,MX,15.7432,-96.4661,83.25,90,45,4.63,scattered clouds
226,Cherskiy,RU,68.75,161.3,48.18,70,100,13.53,overcast clouds
227,Waddan,LY,29.1614,16.139,82.63,21,0,3.78,clear sky
228,Porto Novo,BJ,6.4965,2.6036,74.28,91,33,5.44,scattered clouds
229,Kijang,KR,35.2442,129.2139,96.53,72,91,6.76,overcast clouds
230,Bernalillo,US,35.05,-106.6673,75.33,72,90,1.01,overcast clouds
231,Lata,PT,40.1629,-8.3327,58.82,98,27,1.81,scattered clouds
232,Araouane,ML,18.9048,-3.5265,92.01,38,37,21.68,scattered clouds
233,Vao,NC,-22.6667,167.4833,67.33,60,0,21.59,clear sky
234,Sibu,MY,2.3,111.8167,91.42,51,60,3.38,broken clouds
235,Lebu,CL,-37.6167,-73.65,46.2,80,4,14.36,clear sky
236,Santa Clara,CU,22.4,-79.9667,76.66,83,20,1.14,few clouds
237,Vangaindrano,MG,-23.35,47.6,62.51,80,65,1.07,light rain
238,Ateli,IN,28.1,76.2833,84.88,73,88,6.2,overcast clouds
239,Springville,US,40.1652,-111.6107,78.78,66,75,1.99,light rain
240,Castro,BR,-24.7911,-50.0119,44.08,96,100,6.64,overcast clouds
241,Provideniya,RU,64.3833,-173.3,45.86,79,93,5.93,overcast clouds
242,Green River,US,41.5286,-109.4662,72.99,54,100,3.0,overcast clouds
243,Chokurdakh,RU,70.6333,147.9167,48.0,58,100,15.82,overcast clouds
244,Asasa,ET,7.1,39.2,53.49,90,100,4.14,overcast clouds
245,Meadow Lake,US,34.8014,-106.5436,73.47,55,97,7.07,overcast clouds
246,Da Nang,VN,16.0678,108.2208,100.38,39,20,9.22,few clouds
247,Bluffton,US,32.2371,-80.8604,86.95,87,1,5.75,clear sky
248,Edd,ER,13.9297,41.6925,82.49,64,65,24.74,broken clouds
